air_pressure,frequency
29.21,1
29.22,1
29.23,3
29.26,1
29.28,1
29.31,1
29.32,1
29.34,1
29.35,2
29.39,1
29.4,1
29.41,1
29.42,1
29.44,2
29.47,1
29.48,1
29.5,1
29.51,7
29.52,5
29.53,2
29.54,4
29.55,5
29.56,11
29.57,12
29.58,15
29.59,16
29.6,14
29.61,14
29.62,12
29.63,24
29.64,23
29.65,24
29.66,22
29.67,44
29.68,50
29.69,49
29.7,45
29.71,66
29.72,49
29.73,77
29.74,97
29.75,97
29.76,114
29.77,134
29.78,169
29.79,212
29.8,227
29.81,272
29.82,271
29.83,358
29.84,420
29.85,514
29.86,630
29.87,725
29.88,859
29.89,1074
29.9,1234
29.91,1481
29.92,1627
29.93,1918
29.94,2133
29.95,2393
29.96,2670
29.97,2971
29.98,3128
29.99,3438
30.0,3594
30.01,3687
30.02,3818
30.03,3809
30.04,3783
30.05,3775
30.06,3687
30.07,3472
30.08,3350
30.09,3055
30.1,2813
30.11,2525
30.12,2389
30.13,2138
30.14,1800
30.15,1584
30.16,1438
30.17,1238
30.18,1105
30.19,1013
30.2,892
30.21,774
30.22,627
30.23,623
30.24,509
30.25,432
30.26,349
30.27,281
30.28,229
30.29,230
30.3,189
30.31,143
30.32,105
30.33,90
30.34,72
30.35,39
30.36,42
30.37,24
30.38,16
30.39,15
30.4,8
30.41,7
30.42,12
30.43,8
30.44,2
30.45,4
30.46,1
30.47,2
30.49,1
30.5,1
30.51,1
