relative_humidity,frequency
10,2
11,1
13,1
15,1
18,1
21,4
22,2
23,1
24,8
25,19
26,13
27,16
28,16
29,20
30,32
31,39
32,52
33,51
34,84
35,63
36,82
37,105
38,116
39,147
40,113
41,189
42,202
43,253
44,208
45,353
46,379
47,395
48,587
49,529
50,665
51,770
52,843
53,942
54,1100
55,1339
56,1465
57,871
58,1879
59,2637
60,791
61,1464
62,3757
63,1240
64,575
65,2364
66,4450
67,472
68,550
69,2269
70,6087
71,232
72,439
73,2012
74,8529
75,481
76,71
77,641
78,3455
79,7313
81,9
82,320
83,4650
84,5775
87,34
88,1766
89,6535
94,4981
100,1525
